Product,Category,HA,A,SW,B,c,w,G,mf,NoColor,Available,d,L,Sl,ss,z,od,R,En,Lz,qty,order,demand,price,
COVER,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
COVER 3/4,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
MINI MULLION,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
MINI BASE,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
MINI COVER,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ALCO FRAME,ALUMINUM,6,8,0,0,0,0,0,0,0,14,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ALCO CROSS BAR,ALUMINUM,4,6,0,0,0,0,0,0,0,10,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
LOUVER SMALL,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
8x1/2 MS,METAL SCREW,0,0,0,13,12,0,0,0,0,25,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
8x1 1/2 MS,METAL SCREW,0,0,0,26,5,0,0,0,0,31,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
6x1 MS,METAL SCREW,0,0,0,26,36,0,0,0,0,62,8,3,1.732050808,3,1.88,1.04,27,0,0.012,100,-16,40,0.0,
6x3/4 MS,METAL SCREW,0,0,0,18,21,0,0,0,0,39,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
6x1/2 MS,METAL SCREW,0,0,0,44,13,0,0,0,0,57,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
6x3/8 MS,METAL SCREW,0,0,0,10,81,0,0,0,0,91,8,3,1.732050808,3,1.88,1.04,27,0,0.012,100,-16,40,0.0,
4x1/4 MS,METAL SCREW,0,0,0,38,12,0,0,0,0,50,8,3,1.732050808,3,1.88,1.04,27,0,0.012,100,-16,40,0.0,
4x1/2 MS,METAL SCREW,0,0,0,0,51,0,0,0,0,51,8,3,1.732050808,3,1.88,1.04,27,0,0.012,100,-16,40,0.0,
Silicon GP,METAL SCREW,0,0,0,3,2,0,0,0,0,5,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
6x1/4 MS,METAL SCREW,0,0,0,0,8,0,0,0,0,8,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
4-2 ACE,RIVETS,0,0,0,7,720,10,661,0,0,0,0,18381,500,5,2.236067977,4,1.88,1.03,2504,0,0.012,2,000,-2000,2500,0.0,
4-4 CAPPA,RIVETS,0,0,0,7,408,4,344,0,0,0,0,11752,500,5,2.236067977,4,1.88,1.03,2504,0,0.012,2,000,-2000,2500,0.0,
4-6 CAPPA,RIVETS,0,0,0,10,280,14,080,0,0,0,0,24360,600,3,1.732050808,3,1.88,1.05,1803,0,0.012,2,500,-1200,3000,0.0,
5-32 CAPPA,RIVETS,0,0,0,0,11,432,0,0,0,0,11432,500,5,2.236067977,4,1.88,1.03,2504,0,0.012,2,000,-2000,2500,0.0,
CORNER LOCK,SCREEN/FIXED WINDOWS,0,0,0,0,0,0,0,6,319,0,6319,300,7,2.645751311,5,1.88,1.07,2105,0,0.012,1,200,-1800,1500,0.0,
ALUM.HOOK,SCREEN/FIXED WINDOWS,0,0,0,0,350,0,0,0,0,350,50,3,1.732050808,3,1.88,1,153,0,0.012,200,-100,250,0.0,
BUTTERFLY HINGES,SCREEN/FIXED WINDOWS,0,0,0,0,904,0,0,0,0,904,100,5,2.236067977,4,1.88,1.05,504,0,0.012,500,-400,500,0.0,
HINGES 3",SCREEN/FIXED WINDOWS,0,0,0,813,559,0,0,0,0,1372,120,5,2.236067977,4,1.88,1.05,604,0,0.012,600,-480,600,0.0,
HINGES 1",SCREEN/FIXED WINDOWS,0,0,0,1,006,288,0,0,0,0,1294,120,5,2.236067977,4,1.88,1.05,604,0,0.012,600,-480,600,0.0,
STO BOLT,SCREEN/FIXED WINDOWS,0,0,0,0,0,0,0,0,52,52,20,3,1.732050808,3,1.88,1.02,63,0,0.012,100,-40,100,0.0,
PLASTIC CORNER BRACKET,SCREEN/FIXED WINDOWS,0,0,0,0,0,46,300,0,0,346,50,3,1.732050808,3,1.88,1,153,0,0.012,200,-100,250,0.0,
P.CORNER BRACKET W/ SCREW,SCREEN/FIXED WINDOWS,0,0,0,0,0,146,0,0,608,754,70,4,2.0,4,1.88,1.03,284,0,0.012,300,-210,350,0.0,
TENSION ROLLER,SCREEN/FIXED WINDOWS,0,0,0,0,0,0,0,0,860,860,80,4,2.0,4,1.88,1.01,324,0,0.012,500,-240,400,0.0,
BOTTOM GUIDE,SCREEN/FIXED WINDOWS,0,0,0,0,0,0,0,0,1,084,1084,120,5,2.236067977,4,1.88,1.05,604,0,0.012,600,-480,600,0.0,
